cluster,size,size_pct,mean_lead_time,mean_adr,mean_stays_in_week_nights,mean_stays_in_weekend_nights,mean_adults,mean_children,mean_total_of_special_requests,mean_previous_cancellations,top_hotel,top_hotel_pct,top_market_segment,top_market_segment_pct,top_customer_type,top_customer_type_pct,top_distribution_channel,top_distribution_channel_pct,top_deposit_type,top_deposit_type_pct
0,4836,96.7,110.18,103.09,2.52,0.93,1.88,0.11,0.59,0.05,City Hotel,66.7,Online TA,48.5,Transient,74.7,TA/TO,84.2,No Deposit,86.6
1,164,3.3,35.33,60.55,1.56,0.41,1.54,0.02,0.64,1.24,City Hotel,53.7,Corporate,36.6,Transient,84.1,Corporate,42.7,No Deposit,93.9
