run_id,timestamp,representation_id,method,parameters,seed,k,sample_rule,n_train,n_val,silhouette_train,davies_bouldin_train,calinski_harabasz_train,silhouette_val,davies_bouldin_val,calinski_harabasz_val,runtime_s,notes
e07e4420,2026-04-28T19:30:23+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17343,5,train_20pct_seed=17341,23842,95368,0.0755,2.0969,1668.79,0.0754,2.1079,6260.94,0.292,
7b6f9edc,2026-04-28T19:30:24+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17344,5,train_20pct_seed=17341,23842,95368,0.0728,2.0969,1668.8,0.0738,2.1075,6262.22,0.273,
7409a834,2026-04-28T19:30:24+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17345,5,train_20pct_seed=17341,23842,95368,0.0843,2.4307,1581.71,0.0817,2.4356,6211.79,0.34,
10125f22,2026-04-28T19:30:25+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17346,5,train_20pct_seed=17341,23842,95368,0.0899,2.0058,1674.21,0.0878,2.0236,6251.28,0.3,
47cf7d19,2026-04-28T19:30:26+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17347,5,train_20pct_seed=17341,23842,95368,0.1019,2.0402,1620.1,0.0997,2.0523,6405.07,0.31,
fd60322d,2026-04-28T19:30:27+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17348,5,train_20pct_seed=17341,23842,95368,0.074,2.097,1668.79,0.0746,2.108,6260.91,0.328,
8c2aae3b,2026-04-28T19:30:28+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17349,5,train_20pct_seed=17341,23842,95368,0.0891,2.0065,1674.28,0.0895,2.0247,6250.48,0.272,
a7e15474,2026-04-28T19:30:28+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17350,5,train_20pct_seed=17341,23842,95368,0.0753,2.0979,1668.82,0.0706,2.1082,6262.11,0.272,
239d05d5,2026-04-28T19:30:53+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17341,3,train_20pct_seed=17341,23842,95368,0.124,2.5245,2465.65,0.1269,2.5242,9810.26,0.919,AP extraction shared across seeds; runtime includes AP only on first seed
b8ba3509,2026-04-28T19:30:54+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17342,3,train_20pct_seed=17341,23842,95368,0.1242,2.5245,2465.65,0.1264,2.5242,9810.26,0.03,AP extraction shared across seeds; runtime includes AP only on first seed
a142844a,2026-04-28T19:30:54+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17343,3,train_20pct_seed=17341,23842,95368,0.1277,2.5245,2465.65,0.1287,2.5242,9810.26,0.033,AP extraction shared across seeds; runtime includes AP only on first seed
b8f52755,2026-04-28T19:30:55+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17344,3,train_20pct_seed=17341,23842,95368,0.1294,2.5245,2465.65,0.1257,2.5242,9810.26,0.038,AP extraction shared across seeds; runtime includes AP only on first seed
6136518d,2026-04-28T19:30:55+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17345,3,train_20pct_seed=17341,23842,95368,0.1291,2.5245,2465.65,0.1259,2.5242,9810.26,0.035,AP extraction shared across seeds; runtime includes AP only on first seed
82fcf98c,2026-04-28T19:30:56+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17346,3,train_20pct_seed=17341,23842,95368,0.1282,2.5245,2465.65,0.1257,2.5242,9810.26,0.031,AP extraction shared across seeds; runtime includes AP only on first seed
